work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,3,2,Data Engineering Manager,79833,18,1,16,2
2022,1,2,Data Engineer,25000,55,2,48,1
2022,1,2,Data Analyst,100000,55,2,48,1
2021,1,2,Machine Learning Engineer,200000,55,2,48,2
2022,1,2,Data Analyst,112900,55,2,48,1
2021,2,1,Data Engineer,69741,40,2,37,2
2022,1,2,Data Architect,192400,8,2,6,1
2022,2,2,Data Engineer,117789,20,0,18,1
2021,2,2,Data Analyst,93000,55,2,48,2
2021,2,2,Data Scientist,90734,14,1,12,2
2020,1,2,Machine Learning Engineer,150000,55,1,48,2
2021,2,2,Data Engineer,200000,55,2,48,2
2022,1,2,Data Scientist,140000,55,2,48,1
2022,2,2,Data Scientist,102100,55,0,48,1
2022,2,2,Data Analyst,43966,18,2,16,1
2021,2,2,Data Analyst,75000,55,0,48,2
2021,1,2,Data Scientist,87738,8,2,6,0
2022,1,2,Data Engineer,180000,55,2,48,1
2022,1,2,Data Scientist,144000,55,2,48,1
2022,1,2,Data Engineer,100000,55,2,48,1
2021,0,2,Big Data Engineer,5882,27,0,7,2
2022,1,2,Data Architect,90700,8,2,6,1
2021,2,2,Data Engineer,82528,20,2,18,2
2021,0,2,Computer Vision Software Engineer,70000,55,2,48,1
2022,2,2,Data Scientist,130000,55,0,48,1
2021,1,2,Principal Data Engineer,185000,55,2,48,2
2020,2,2,Data Engineer,130800,18,2,48,1
2022,2,2,Data Analyst,58000,55,0,48,0
2022,0,2,Data Scientist,40000,32,2,35,2
2020,1,2,Data Engineer,188000,55,2,48,2
2020,1,2,Data Scientist,68428,21,2,48,2
2022,1,2,Data Science Engineer,60000,1,2,34,2
2021,2,2,Data Engineer,111775,55,0,48,1
2022,3,2,Data Analyst,110000,55,2,48,1
2021,2,2,Data Scientist,61467,14,1,2,1
2021,0,2,Data Scientist,100000,55,0,48,0
2020,1,2,Data Engineer,33511,37,0,34,0
2022,2,2,Data Analyst,85000,8,0,6,1
2021,0,2,Big Data Engineer,16228,27,2,25,2
2022,0,3,Applied Machine Learning Scientist,31875,52,2,11,1
2022,1,2,Data Architect,208775,55,2,48,1
2021,2,2,Machine Learning Engineer,51064,30,1,28,2
2022,2,2,Data Engineer,63900,55,0,48,1
2022,2,2,AI Scientist,120000,55,0,48,1
2022,1,2,Research Scientist,93427,19,1,17,2
2021,1,2,Principal Data Scientist,220000,55,0,48,2
2020,0,1,Data Scientist,21669,30,1,28,0
2022,2,2,Data Analyst,50000,55,2,48,1
2021,0,2,Machine Learning Engineer,20000,27,2,25,0
2022,1,2,Data Architect,192564,55,2,48,1
2022,2,2,Data Scientist,69336,8,2,6,1
2020,1,2,Machine Learning Engineer,45618,24,2,21,0
2020,2,2,Data Analyst,85000,55,2,48,2
2021,2,2,Data Scientist,119059,50,2,24,1
2020,2,2,Data Scientist,45760,42,2,48,0
2022,2,2,Data Scientist,35590,44,2,40,2
2022,1,2,Data Architect,147800,55,2,48,1
2021,3,2,Data Science Consultant,69741,19,2,16,0
2021,0,1,Computer Vision Engineer,28609,15,1,13,0
2020,0,2,AI Scientist,45896,15,1,13,0
2022,1,2,Data Engineer,243900,55,2,48,1
2022,2,2,Data Engineer,150000,55,2,48,1
2021,0,2,Data Scientist,90000,55,2,48,0
2022,0,2,Financial Data Analyst,100000,55,1,48,2
2022,2,2,NLP Engineer,37236,55,1,48,2
2022,1,2,Data Analyst,129000,55,0,48,1
2021,0,2,Data Engineer,65013,14,1,12,1
2021,1,2,Machine Learning Infrastructure Engineer,195000,55,2,48,1
2021,3,2,Head of Data Science,85000,49,0,43,1
2022,1,2,Data Engineer,154600,55,2,48,2
2022,1,2,Data Scientist,185100,55,2,48,1
2021,2,2,Data Analyst,51519,20,1,18,2
2022,2,2,Machine Learning Engineer,124333,20,0,18,1
2020,1,2,Machine Learning Scientist,260000,32,0,29,0
2022,1,2,Data Analyst,116150,55,2,48,1
2021,1,2,Data Analytics Engineer,79197,14,2,12,2
2021,2,2,Data Scientist,12901,7,0,5,0
2020,2,2,Data Analyst,46759,19,1,17,2
2022,0,2,Research Scientist,120000,55,2,48,2
2022,2,2,Data Engineer,49461,18,2,16,1
2022,0,2,Computer Vision Engineer,125000,55,0,48,1
2022,1,2,Data Engineer,136000,55,0,48,1
2021,0,2,Data Science Consultant,76833,14,2,12,0
2022,1,2,Data Analyst,109280,55,2,48,1
2022,1,2,Data Engineer,156600,55,2,48,1
2021,2,2,Data Analyst,80000,55,2,48,2
2020,2,2,Lead Data Analyst,87000,55,2,48,2
2022,1,2,Data Scientist,165220,55,2,48,1
2022,1,2,Data Analyst,164000,55,0,48,1
2021,0,2,Machine Learning Engineer,85000,40,2,12,0
2021,0,2,Data Engineer,80000,55,2,48,2
2022,0,2,Data Analyst,52000,8,0,6,1
2022,1,2,Data Engineer,210000,55,2,48,1
2022,1,2,Data Scientist,230000,55,2,48,1
2022,1,2,Data Engineer,115000,55,2,48,1
2021,1,2,Data Scientist,165000,55,2,48,2
2022,1,2,Data Analyst,170000,55,2,48,1
2022,1,2,Data Engineer,175100,55,2,48,1
2021,2,2,Machine Learning Engineer,74000,32,1,29,0
2022,2,2,Data Scientist,91614,20,0,18,1
2022,0,2,Computer Vision Software Engineer,150000,3,2,3,0
2020,1,2,Data Scientist,120000,55,1,48,2
2022,2,2,Data Scientist,183228,20,0,18,1
2022,1,2,Analytics Engineer,205300,55,0,48,1
2021,3,2,Principal Data Engineer,600000,55,2,48,2
2020,2,2,Product Data Analyst,6072,27,2,25,2
2022,2,2,Data Engineer,78526,20,0,18,1
2022,2,2,Data Scientist,31615,27,2,25,2
2021,3,2,Head of Data,230000,49,1,43,2
2021,0,2,Data Scientist,58000,55,1,48,2
2021,0,2,Machine Learning Engineer,21844,12,1,10,1
2022,1,2,Data Engineer,132320,55,2,48,1
2022,2,2,Data Engineer,49461,21,2,19,1
2022,2,2,Principal Data Analyst,75000,8,2,6,0
2022,3,2,Head of Data Science,167875,55,2,48,1
2022,2,2,Data Analyst,126500,55,0,48,1
2021,0,2,Machine Learning Developer,100000,28,1,26,0
2021,2,2,Computer Vision Software Engineer,95746,14,2,48,0
2022,1,2,Machine Learning Engineer,164996,55,0,48,1
2021,2,2,Data Analytics Engineer,110000,55,2,48,2
2022,2,2,Business Data Analyst,18442,27,2,25,1
2022,1,2,Data Analyst,112900,55,2,48,1
2021,0,2,Machine Learning Engineer,24823,14,1,12,1
2022,1,2,Research Scientist,144000,55,1,48,2
2021,1,2,Principal Data Engineer,200000,55,2,48,1
2020,2,2,Machine Learning Engineer,43331,11,0,9,1
2020,2,2,Data Scientist,42197,19,1,17,0
2021,2,2,Research Scientist,187442,8,2,6,2
2021,0,2,Data Engineer,72500,55,2,48,2
2022,2,2,Data Engineer,91614,20,2,18,1
2021,2,2,BI Data Analyst,36259,25,1,48,2
